paper title (separate scrape),paper authors (separate scrape),title,paper identifier,paper link,impact statement,impact statement title,word count,sentence count,opt out,ambiguous opt out,manually corrected,human review,Image based PDF,paper title (subjects),primary subject area,secondary subject areas,clustering subject preference,authors,affiliations,academic,industry,mixed,country
Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds,"Nicholas Harvey, Christopher Liaw, Tasuku Soma",Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds,0163cceb20f5ca7b313419c068abd9dc,https://proceedings.neurips.cc/paper/2020/file/0163cceb20f5ca7b313419c068abd9dc-Paper.pdf,This is a theoretical work and does not present any foreseeable societal consequences.,Broader Impact,13,1,TRUE,FALSE,FALSE,FALSE,FALSE,Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds,Optimization -> Submodular Optimization,Algorithms -> Online Learning,Submodular optimization,"['Nicholas Harvey', ' Christopher Liaw', ' Tasuku Soma']","{'University of British Columbia', 'University of Tokyo'}",1,0,0,"{'Japan', 'Canada'}"
Synbols: Probing Learning Algorithms with Synthetic Datasets,"Alexandre Lacoste, Pau Rodríguez López, Frederic Branchaud-Charron, Parmida Atighehchian, Massimo Caccia, Issam Hadj Laradji, Alexandre Drouin, Matthew Craddock, Laurent Charlin, David Vázquez",Synbols: Probing Learning Algorithms with Synthetic Datasets,0169cf885f882efd795951253db5cdfb,https://proceedings.neurips.cc/paper/2020/file/0169cf885f882efd795951253db5cdfb-Paper.pdf,"The introduction of benchmark new datasets has historically fueled progress in machine learning. However, recent large-scale datasets are immense, which makes ML research over-reliant on massive computation cycles. This biases research advances towards fast and computationally-intensive methods, leading to economic and environmental impacts. Economically, reliance on massive computation cycles creates disparities between researchers and organizations with limited computation and hardware budgets, versus those with more resources. With regard to the environment and climate change, recent analyses [48, 28] conclude that the greenhouse gases emitted from training very large-scale models, such as transformers, can be equivalent to 10 years’ worth of individual emissions. While these impacts are not unique to ML research, they are reflective of systemic challenges that ML research could address by developing widely available, high-quality, and diverse datasets that mimic real-world concepts and are conscious of computational hurdles. The Synbols synthetic dataset generator is designed to explore the behavior of learning algorithms and discover brittleness to certain configurations. It is expected to stimulate the improvement of core properties in vision algorithms: • Identifiability of latent properties • Reusability of machine learning models in new environments • Robustness to changes in the data distribution • Better performance on small datasets We designed Synbols with diverse and flexible features (i.e., font diversity, different languages, lower resolution for POC, flexible texture of the background and foreground) and we demonstrated its versatility by reporting numerous findings across 5 different machine learning paradigms. Its characteristics address the economic and environmental challenges and we expect this tool to have a transversal impact on the field of machine vision with potential impact on the field of machine learning. Its broader impacts, both positive and negative, will be guided by the progress that it stimulates in the machine vision community, where potential applications range from autonomous weapons to climate change mitigation. Nevertheless, we hope that our work will help develop more robust and reliable machine learning algorithms while reducing the amount of greenhouse gas emissions from training by way of its smaller scale. Economic impact: reliance on computing-intensive environments creates disparities, especially for researchers and organizations with limited computation and hardware budgets. Environmental impact: Recent analyses [45, 28] conclude that the greenhouse gases emitted from training very large-scale models, such as transformers, can be equivalent to 10 years’ worth of individual emissions",Broader Impact,386,13,,,TRUE,TRUE,FALSE,Synbols: Probing Learning Algorithms with Synthetic Datasets,"Data, Challenges, Implementations, and Software -> Virtual Environments","Algorithms -> Active Learning; Algorithms -> Few-Shot Learning; Algorithms -> Representation Learning; Applications -> Object Detection; Data, Challenges, Implementations, and Software -> Benchmarks; Data, Challenges, Implementations, and Software -> Data Sets or Data Repositories; Data, Challenges, Implementations, and Software -> Software Toolkits","Datasets, challenges, software","['Alexandre Lacoste', ' Pau Rodríguez López', 'Charron', ' Parmida Atighehchian', ' Massimo Caccia', ' Issam Hadj Laradji', ' Alexandre Drouin', ' Matthew Craddock', ' Laurent Charlin', ' David Vázquez']","{'ElementAI', 'MILA', 'University of British Columbia', 'CVC UAB', 'Element AI'}",1,1,1,{'Canada'}
Adversarially Robust Streaming Algorithms via Differential Privacy,"Avinatan Hasidim, Haim Kaplan, Yishay Mansour, Yossi Matias, Uri Stemmer",Adversarially Robust Streaming Algorithms via Differential Privacy,0172d289da48c48de8c5ebf3de9f7ee1,https://proceedings.neurips.cc/paper/2020/file/0172d289da48c48de8c5ebf3de9f7ee1-Paper.pdf,"Our work applies differential privacy and generalization bounds to make streaming algorithms robust to adversarial attacks and feedback loops (in which the value reported by the algorithm affects future updates). The idea of using differential privacy as a tool to protect against adversarial attacks on the randomness of the algorithm may be applicable more generally, when a randomized ML model that reports continuously is exposed to a dangerous feedback loop or malicious users. We believe that the connection we establish in this work is only the beginning, and that, following our work, ideas from the literature of differential privacy will continue to find new applications in the field of robust streaming and other related areas.",Broader Impact,115,3,,,FALSE,FALSE,FALSE,Adversarially Robust Streaming Algorithms via Differential Privacy,Algorithms -> Adaptive Data Analysis,"Social Aspects of Machine Learning -> Privacy, Anonymity, and Security",Theory (including computational and statistical analyses),"['Avinatan Hasidim', ' Haim Kaplan', ' Yishay Mansour', ' Yossi Matias', ' Uri Stemmer']","{'Google', 'Tel Aviv University / Google', 'Ben-Gurion University', 'TAU, GOOGLE'}",1,1,1,"{'USA', 'Israel'}"
Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering,"Long Chen, Yuan Yao, Feng Xu, Miao Xu, Hanghang Tong",Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering,019fa4fdf1c04cf73ba25aa2223769cd,https://proceedings.neurips.cc/paper/2020/file/019fa4fdf1c04cf73ba25aa2223769cd-Paper.pdf,"In this paper, researchers introduce a data debugging method for factorization-based collaborative filtering which improves the recommendation by identifying and correcting the overly personalized ratings in recommendation systems. As far as we know, researches on collaborative filtering have mainly focused on two directions: using advanced models and using additional information, yet few papers explore data from the overly personalized aspect. The current research suggests a new direction for collaborative filtering, orthogonal to the classical two directions. The proposed method, together with others, can improve the accuracy of recommendation systems, which will further ease the process of information acquiring. In a world locked down today due to the impact of coronavirus, easy information acquiring can give those who are not familiar with the Internet, especially disadvantaged people, many conveniences in acquiring necessities and public information online. The current work tries to spot minorities who are identified as over-personalized and decrease their impact in terms of affecting the overall recommendation accuracy. However, it can work naturally in a reverse way: giving more priority to minorities, as a necessary step in the proposed algorithm is to identify the minorities. From the algorithm aspect, we can design special treatment for these minorities. For the social aspect, the idea of this work can be extended to much broader areas like opinion mining and decision making. For example, policymakers can understand better what kind of people are counted as minorities and how the minorities impact the final output; they may also pay special attention to minorities by giving them more weights in future decision making. Finally, there may be a trend of making ‘more personalized’ recommendations. Although in the current paper, we trade personalization for accuracy, our proposed method also provides an access to those more ‘personalized’ data. Further research may be invoked on these personalized data, working towards satisfying both population and personalization.",Broader Impact,308,13,,,FALSE,FALSE,FALSE,Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering,Algorithms -> Collaborative Filtering,,"Core machine learning methods (e.g., supervised learning, ranking, clustering, metric learning, etc.)","['Long Chen', ' Yuan Yao', ' Hanghang Tong', ' Miao Xu', ' Feng Xu']","{'RIKEN AIP', 'Nanjing University', 'University of Illinois at Urbana-Champaign'}",1,0,0,"{'Japan', 'China', 'USA'}"
Cascaded Text Generation with Markov Transformers,"Yuntian Deng, Alexander Rush",Cascaded Text Generation with Markov Transformers,01a0683665f38d8e5e567b3b15ca98bf,https://proceedings.neurips.cc/paper/2020/file/01a0683665f38d8e5e567b3b15ca98bf-Paper.pdf,"Our work proposes an alternative approach to beam search that enables more efficient text generation. This work primarily uses machine translation as an application, but in the long run, it might be applied to longer-form text generation such as summarizing or translating entire documents, or be deployed to edge devices due to its faster inference and lower computational costs. On the positive side, more efficient text generation can make these technologies more accessible to the general public. For example, machine translation can help overcome language barriers [37]; document summarization makes data more interpretable [33]. However, there are potential risks. Faster text generation has provoked concerns about generating fake news and targeted propaganda [56, 9] and might pose safety concerns if it was used to generate hate speech or to harass people [48]. Another potential problem is that it might generate language that appears fluent but fabricates facts [22]. To mitigate those issues, there have been works trying to detect machine-generated text [10, 62, 2]. While these works address some concerns over the abuse of text generation, we should be cautious that fake news detection is still a mostly unsolved technical problem and requires active future research [44, 4] as well as non-technical mitigation efforts.",Broader Impact,204,9,,,FALSE,FALSE,FALSE,Cascaded Text Generation with Markov Transformers,Applications -> Natural Language Processing,Deep Learning -> Generative Models,Natural language processing,"['Yuntian Deng', ' Alexander Rush']","{'Harvard University', 'Cornell University'}",1,0,0,{'USA'}
Improving Local Identifiability in Probabilistic Box Embeddings,"Shib Dasgupta, Michael Boratko, Dongxu Zhang, Luke Vilnis, Xiang Li, Andrew McCallum",Improving Local Identifiability in Probabilistic Box Embeddings,01c9d2c5b3ff5cbba349ec39a570b5e3,https://proceedings.neurips.cc/paper/2020/file/01c9d2c5b3ff5cbba349ec39a570b5e3-Paper.pdf,This work does not present any foreseeable societal consequence.,Broader Impact,9,1,TRUE,FALSE,FALSE,FALSE,FALSE,Improving Local Identifiability in Probabilistic Box Embeddings,Algorithms -> Representation Learning,Algorithms -> Relational Learning; Optimization,"Core machine learning methods (e.g., supervised learning, ranking, clustering, metric learning, etc.)",,"{'University of Massachusetts, Amherst', 'University of Massachusetts Amherst', 'UMass Amherst'}",1,0,0,{'USA'}
Permute-and-Flip: A new mechanism for differentially private selection,"Ryan McKenna, Daniel R. Sheldon",Permute-and-Flip: A new mechanism for differentially private selection,01e00f2f4bfcbb7505cb641066f2859b,https://proceedings.neurips.cc/paper/2020/file/01e00f2f4bfcbb7505cb641066f2859b-Paper.pdf,"Our work fi ts in the established research area of differential privacy, which enables the positive societal bene fi ts of gleaning insight and utility from data sets about people while offering formal guarantees of privacy to individuals who contribute data. While these bene fi ts are largely positive, unintended harms could arise due to misapplication of differential privacy or misconceptions about its guarantees. Additionally, dif fi cult social choices are faced when deciding how to balance privacy and utility. Our work addresses a foundational differential privacy task and enables better utility-privacy tradeoffs within this broader context.",Broader Impact,97,4,,,FALSE,FALSE,FALSE,Permute-and-Flip: A new mechanism for differentially private selection,"Social Aspects of Machine Learning -> Privacy, Anonymity, and Security",,"Social aspects of machine learning (e.g., fairness, safety, privacy)","['Ryan McKenna', ' Daniel Sheldon']","{'University of Massachusetts, Amherst', 'University of Massachusetts Amherst'}",1,0,0,{'USA'}
Deep reconstruction of strange attractors from time series,William Gilpin,Deep reconstruction of strange attractors from time series,021bbc7ee20b71134d53e20206bd6feb,https://proceedings.neurips.cc/paper/2020/file/021bbc7ee20b71134d53e20206bd6feb-Paper.pdf,"While our work is motivated by conceptual and theoretical problems in the theory of nonlinear and chaotic dynamical systems, our method incurs comparable ethical and societal impacts to other techniques for mining time series data. While we focus primarily on datasets from the natural sciences, our technique can be used to identify recurring patterns and motifs within industrial datasets, such as subtle usage patterns of a utility, or fluctuations in consumer demand. Likewise, our technique is well-suited to the analysis of data from fitness trackers, in which a small number of measured dynamical variables (acceleration, elevation, heart rate, etc) are used as a proxy for a model of an individual’s behavior (and even overall health status). Both of these examples represent cases in which the technique may identify latent factors about individuals that they might not anticipate being observable to a third-party—thus introducing concerns about privacy. Avoiding such problems first requires intervention at the level of the data provided to the technique (e.g., aggregating time series across individuals before training the model) or strict retention limitation policies (e.g., providing an overall health score, and then deleting the underlying model behind that score). For example, in our technique, the rows of the Hankel matrix used to train the model can be randomly sampled from a pool of user time series, resulting in an aggregated model that avoids modeling any particular user. However, the ability of our method to identify latent dynamical variables also motivates potential positive societal impacts, particularly in regards to potential benefits for the analysis of physiological data. We show examples of non-trivial structure being extracted from cardiac measurements and neural activity; these structures may be used to better identify and detect anomalous dynamics, potentially improving health monitoring. More broadly, better identification of latent factors within time series data may allow for more principled identification and removal of features that undermine individual privacy, although this would require ex post facto analysis and interpretation of latent variables discovered using our technique.",Broader Impact,331,9,,,FALSE,FALSE,FALSE,Deep reconstruction of strange attractors from time series,Algorithms -> Dynamical Systems,Applications -> Time Series Analysis,Deep learning,['William Gilpin'],{'Harvard University'},1,0,0,{'USA'}
Reciprocal Adversarial Learning via Characteristic Functions,"Shengxi Li, Zeyang Yu, Min Xiang, Danilo Mandic",Reciprocal Adversarial Learning via Characteristic Functions,021f6dd88a11ca489936ae770e4634ad,https://proceedings.neurips.cc/paper/2020/file/021f6dd88a11ca489936ae770e4634ad-Paper.pdf,"A combination of the auto-encoder and GANs has been extensively studied, and has been shown to achieve a broader data generation and reconstruction. The RCF-GAN proposed in this paper provides a neat and new structure in the combination. The studies of GANs and those design on probabilistic auto-encoders basically start from different perspectives because the former serves for the generation, or it “decodes” from random noise, whilst the latter, as its name implies, focuses on encoding to summarise information. Although there are extensive attempts on combining those two structures, they typically embed one into the other as components such as by using an auto-encoder as a discriminator in GANs or using an adversarial idea in an auto-encoder. This paper provides a way of equally treating the two structures; the proposed structure, which contains only two modules, can be regarded both as an “encoder-decoder” and “discriminator-generator”. The proposed combination benefits both, that is, it equips an auto-encoder the ability to meaningfully encode via matching in the embedded domain, whilst ensuring the convergence of the adversarial as a GAN. Moreover, instead of being a component to measure the distance as in the W-GAN, regarding the critic as an independent feature mapping module with a sufficient distance metric is beneficial to allow learning in the embedded domain for any types of feature extraction models, such as the deep canonical correlation analysis net and graph auto encoder. A large amount of unsupervised learning models, then, can be connected and improved with the adversarial learning. Another potential benefit of our work is to bring the general concept of the characteristic function (CF) into practice, by providing efficient sampling methods. The CF has been previously studied as a powerful tool in theoretical probabilistic analysis, while its practical applications have been limited due to complex functional forms. We should also highlight the physical meaning of the CF components introduced in this paper. It is a well known experimental phenomenon that the phase of discrete Fourier transform of images captures the saliency information, which motivates a large volume of works in saliency detection. This paper gives a probabilistic explanation to this, paving the way for future work to embark upon this intrinsic relationship.",6 Broader Impact,365,13,,,FALSE,FALSE,FALSE,Reciprocal Adversarial Learning via Characteristic Functions,Deep Learning -> Generative Models,Algorithms -> Adversarial Learning; Algorithms -> Density Estimation; Algorithms -> Unsupervised Learning; Applications -> Computer Vision; Deep Learning -> Adversarial Networks; Deep Learning -> Deep Autoencoders,Probabilistic methods and inference,"['Shengxi Li', ' Zeyang Yu', ' Min Xiang', ' Danilo P Mandic']",{'Imperial College London'},1,0,0,{'UK'}
Statistical Guarantees of Distributed Nearest Neighbor Classification,"Jiexin Duan, Xingye Qiao, Guang Cheng",Statistical Guarantees of Distributed Nearest Neighbor Classification,022e0ee5162c13d9a7bb3bd00fb032ce,https://proceedings.neurips.cc/paper/2020/file/022e0ee5162c13d9a7bb3bd00fb032ce-Paper.pdf,"Our work provides a statistical guarantee for the performance of nearest neighbor classifiers under the distributed framework. It also provides a guideline to choose suitable number of machines for parallel computing in practice. In addition, this paper reveals the accuracy lost of the majority voting scheme compared to the weighted voting scheme, which sheds light upon the choice of the voting scheme. Our work will advance the theoretical frontier for the nearest neighbor classifier.",Broader Impact,74,4,,,FALSE,FALSE,FALSE,Statistical Guarantees of Distributed Nearest Neighbor Classification,Algorithms -> Classification,Algorithms -> Large Scale Learning; Theory -> Statistical Learning Theory,Theory (including computational and statistical analyses),"['Jiexin Duan', ' Xingye Qiao', ' Guang Cheng']","{'Binghamton University', 'Purdue University'}",1,0,0,{'USA'}
Stein Self-Repulsive Dynamics: Benefits From Past Samples,"Mao Ye, Tongzheng Ren, Qiang Liu",Stein Self-Repulsive Dynamics: Benefits from Past Samples,023d0a5671efd29e80b4deef8262e297,https://proceedings.neurips.cc/paper/2020/file/023d0a5671efd29e80b4deef8262e297-Paper.pdf,This work incorporates Stein repulsive force into Langevin dynamics to improve sample efficiency. It brings a positively improvement to the community such as reinforcement learning and Bayesian neural network that needs efficient sampler. Our work do not have any negative societal impacts that we can foresee in the future.,Broader Impact Statement,49,3,FALSE,FALSE,TRUE,TRUE,FALSE,Stein Self-Repulsive Dynamics: Benefits From Past Samples,Probabilistic Methods -> Variational Inference,Algorithms -> Kernel Methods; Probabilistic Methods -> MCMC,,"['Mao Ye', ' Tongzheng Ren', ' Qiang Liu']","{'The University of Texas at Austin', 'UT Austin'}",1,0,0,{'USA'}
The Statistical Complexity of Early-Stopped Mirror Descent,"Tomas Vaskevicius, Varun Kanade, Patrick Rebeschini",The Statistical Complexity of Early-Stopped Mirror Descent,024d2d699e6c1a82c9ba986386f4d824,https://proceedings.neurips.cc/paper/2020/file/024d2d699e6c1a82c9ba986386f4d824-Paper.pdf,This work does not present any foreseeable ethical or societal consequences.,Broader Impact,11,1,TRUE,FALSE,FALSE,FALSE,FALSE,The Statistical Complexity of Early-Stopped Mirror Descent,Theory,Optimization -> Convex Optimization; Theory -> Regularization; Theory -> Statistical Learning Theory,Theory (including computational and statistical analyses),"['Tomas Vaskevicius', ' Varun Kanade', ' Patrick Rebeschini']",{'University of Oxford'},1,0,0,{'UK'}
Algorithmic recourse under imperfect causal knowledge: a probabilistic approach,"Amir-Hossein Karimi, Bodo Julius von Kügelgen, Bernhard Schölkopf, Isabel Valera",Algorithmic recourse under imperfect causal knowledge: a probabilistic approach,02a3c7fb3f489288ae6942498498db20,https://proceedings.neurips.cc/paper/2020/file/02a3c7fb3f489288ae6942498498db20-Paper.pdf,"Our work falls into the domain of explainable AI, which—given the increasing use of often intranspar- ent (“blackbox”) machine learning models in consequential decision making—is of rapidly-growing societal importance. In particular, we consider the task of enabling and facilitating algorithmic recourse , which aims to provide individuals with guidance and recommendations on how best (i.e., efficiently and ideally at low cost) to recover from unfavourable decisions made by an automated system. To address this task, we build on the framework of causal modelling, which constitutes a principled and mathematically rigorous way to reason about the downstream effects of actions. Since correlation does not imply causation, this requires to make additional assumptions based on a general understanding of the domain at hand. While this may perhaps seem restrictive at first, we point out that other approaches to explainability also make implicit assumptions of a causal nature (e.g., that all features can be changed at will without affecting others in the case of “counterfactual” explanations), without explicitly and clearly stating such assumptions. The advantage of phrasing assumptions about relations between features in the form of a causal graph is that the latter is transparent and intuitive to understand and can thus be challenged by decision makers and individuals alike. While theoretically sound from a causal perspective, at the same time, our method is aimed at being practical by not making further assumptions beyond the causal graph which would be hard or impossible to test or challenge empirically—in contrast to the assumed known specification of the full SCM in [22]. We start from the position that the model is only partially known, and use this to motivate probabilistic approaches to causal algorithmic recourse which take uncertainty into account. Our approaches are more robust to misspeficiation than naive point-based recourse methods (as demonstrated experimentally): “system-failure” is thus fundamentally baked in to our methods. Moreover, the interpretable “conservativeness parameter” gamma-LCB can be used trade-off the desired level of robustness against the effort an individual is willing to put into achieving recourse. The importance of causal reasoning for an ethical and socially beneficial use of ML-assisted tech- nology has also been stressed in a number of recent works in the field of explainability and fair algorithmic decision making [29, 42, 24, 63, 64, 10, 57, 15]. We thus hope that some of the proba- bilistic approaches for causal reasoning under imperfect knowledge proposed in this work may also prove useful for related tasks such as fairness, accountability, transparency. To this end, we have created a user-friendly implementation of all the approaches proposed in this work that we will make publicly available to be scrutinised, re-used, and further improved by the community. The code is highly flexible and only requires the specification of a causal graph, as well as a labelled training dataset. Since our work considers the classifier as given, it is possible that it is explicitly discriminatory or reproduces biases in the data. While not directly addressing this problem, our work aims to enable individuals to overcome a potentially unfairly obtained decision with minimal effort. If successful recourse examples are included in future training data, this may help de-bias a system over time; we consider the intersection of our work with fair decision making in the context of a classifier evolving over time as the result of further data collection [25] a fruitful and important direction for future research. In addition, observing that certain minority groups consistently receive more costly recourse recommendations may be a way to reveal bias in the underlying decision making system. While our framework is intended to help individuals increase their chances for a more favourable prediction given that they were, e.g., denied a loan or bail, we cannot rule out a priori, that the same approach could also be used by foes in unintended ways, e.g., to “game” a spam filter or similar system built to protect society from harm. However, since our framework requires the specification of a causal graph which usually requires an understanding of the domain and the causal influences at play, it is unlikely that it could be abused by a purely virtual system without a human in the loop.",Broader Impact,694,20,,,TRUE,TRUE,FALSE,Algorithmic recourse under imperfect causal knowledge: a probabilistic approach,"Social Aspects of Machine Learning -> Fairness, Accountability, and Transparency",Probabilistic Methods -> Causal Inference,"Social aspects of machine learning (e.g., fairness, safety, privacy)","['Hossein Karimi', ' Julius von Kügelgen', ' Bernhard Schölkopf', ' Isabel Valera']","{'UWaterloo', 'MPI for Intelligent Systems', 'Max Planck Institute for Intelligent Systems'}",1,0,0,"{'Canada', 'Germany'}"
